Modell;Auris_Touring_Sports_1.8_Hybrid;Corolla_Touring_Sports_1.8_Hybrid;RAV4_gen5_2.5_Hybrid;RAV4_gen4_2.5_Hybrid;Prius_1.8_Hybrid;Prius+_1.8_Hybrid;Skoda_enyaq_IV60
Grundpreis;30090;36000;46000;40090;32000;32900;42000
Leistung_maximal_in_kW_(Systemleistung);100;103;160;145;100;100;132
Leistung_maximal_in_PS_(Systemleistung);136;140;218;197;136;136;180
Nennleistung_in_kW;73;72;131;114;73;73;70
Lange;4595;4650;4600;4605;4460;4645;4649
Breite;1760;1790;1855;1845;1745;1775;1879 
Breite_(inkl._Außenspiegel);2045;2090;2160;2130;2045;2050;2147 
Höhe;1475;1435;1685;1675;1490;1600;1616 
Radstand;2600;2700;2690;2660;2700;2780;2765 
Bodenfreiheit_maximal;140;135;190;177;n.b.;n.b.;187 
Wendekreis;11,4;10,4;11,8;12,0;11,2;12,4;10,9
Kofferraumvolumen_normal_liter;547;596;580;530;445;505;585 
Leergewicht_(EU);1410;1485;1745;1700;1445;1575;1992 
Zul._Gesamtgewicht;1815;1885;2135;2205;1805;2115;2500 
Zuladung;405;400;510;505;360;540;508 
Anhängelast_gebremst_12%;345;750;800;800;75;75;1000 
Anhängelast_ungebremst;345;450;750;750;;; 
Stützlast;55;75;70;35;;;
Dachlast;75;75;n.b.;85;;;
Reifengröße;225/45R17;205/55R16V;225/65R17;225/60R18H;195/65R15;215/50R17;235/55R19
Beschleunigung_0-100km/h;11,2;9,2;8,4;8,3;10,4;11,3;8,7
Verbrauch_Gesamt_(NEFZ);4.5;3.9;5.1;5.5;4.1;4.1;2.65
CO2-Wert_(NEFZ);99;100;126;127;89;96;0
Tankgröße;45,0;43,0;55,0;56,0;45,0;45,0;
Batteriekapazitat_(Brutto)_in_kWh;1,3;1,6;1,6;1,6;1;1;62
BauJahr;2018;2019;2019;2018;2010;2020;2021
Preis;14000;19000;21000;18500;20000;7000;25000
