Kategorie;Herstellerangabe;Herstellerangabe;Herstellerangabe;Herstellerangabe;Herstellerangabe;Herstellerangabe
Marke;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota
Modell;Auris Touring Sports 1.8 Hybrid;Corolla Touring Sports 1.8 Hybrid;RAV4 2.5 Hybrid;RAV4 2.5 Hybrid;Prius 1.8 Hybrid;Prius+ 1.8 Hybrid
Typ;Executive;Business Edition;Business Edition;Executive;;Comfort
Baureihe;Auris (E18) Touring Sports (09/15 - 03/19);Corolla (E21) Touring Sports (ab 02/23);RAV4 (XA5) (ab 01/19);RAV4 (XA4) (01/16 - 12/18);Prius (XW3) (04/12 - 02/16);Prius+ (XW3/4) (02/15 - 08/20)
Herstellerinterne Baureihenbezeichnung;E180;E210;XA5;XA3/XA4;XW3;XW3/XW4
Modellstart;Aug 18;Feb 23;Jun 20;Sep 18;04. Dez;Feb 15
Baureihenstart;Sep 15;Feb 23;Jan 19;Dez 18;Feb 16;Jan 18
KFZ-Steuer ohne Befreiung/Jahr (kann durch WLTP abweichen);44 Euro;46 Euro;114 Euro;114 Euro;04. Dez;Feb 15
CO2-Effizienzklasse;A+;C;D;A;A+;A+
Grundpreis;300090;36000;46000;40090;32000;32900
Motor und Antrieb;;;;;;
Kategorie;Herstellerangabe;Herstellerangabe;Herstellerangabe;Herstellerangabe;Herstellerangabe;Herstellerangabe
Motorart;Voll-Hybrid;Voll-Hybrid;Voll-Hybrid;Voll-Hybrid;Voll-Hybrid;Voll-Hybrid
Motorcode;2ZR-FXE;2ZR-FXE;A25A-FXS;2AR-FXE;2ZR-FXE;2ZR-FXE
Leistung maximal in kW (Systemleistung);100;103;160;145;100;100
Leistung maximal in PS (Systemleistung);136;140;218;197;136;136
Drehmoment (Systemleistung);n.b.;n.b.;n.b.;n.b.;n.b.;n.b.
Nennleistung in kW;73;72;131;114;73;73
Schadstoffklasse;Euro 6c (WLTP) 36AA-AD;Euro 6d-ISC-FCM (WLTP) 36AP-AR;Euro 6d-ISC-FCM (WLTP) 36AP-AR;Euro 6c (WLTP) 36AA-AD;Euro 5;Euro 6b (NEFZ)
Hubraum (Verbrennungsmotor);1798 ccm;1798 ccm;2487 ccm;2494 ccm;1798 ccm;1798 ccm
Leistung / Drehmoment (Verbrennungsmotor);73 kW (99 PS) / 142 Nm;72 kW (98 PS) / 142 Nm;130 kW (177 PS) / 221 Nm;114 kW (155 PS) / 210 Nm;73 kW (99 PS) / 142 Nm;73 kW (99 PS) / 142 Nm
Leistung maximal bei U/min. (Verbrennungsmotor);5200 U/min;5200 U/min;6000 U/min;5700 U/min;5200 U/min;5200 U/min
Drehmoment maximal bei U/min. (Verbrennungsmotor);4000 U/min;3600 U/min;3600 U/min;4200 U/min;4000 U/min;4000 U/min
Start-/Stopp-Automatik (Verbrennungsmotor);Serie;Serie;Serie;Serie;Serie;Serie
Einbauposition / Motorbauart (Elektromotor 1);Vorderachse / E-Motor (noch keine Details bekannt);Vorderachse / E-Motor (noch keine Details bekannt);Vorderachse / E-Motor (noch keine Details bekannt);Vorderachse / E-Motor (noch keine Details bekannt);Vorderachse / E-Motor (noch keine Details bekannt);Vorderachse / E-Motor (noch keine Details bekannt)
